0 1 (12971)
0 2 (12971)
0 3 (14878)
0 4 (14878)
0 5 (14870)
0 6 (14870)
0 7 (12169)
0 8 (15361)
0 9 (15361)
0 10 (14014)
0 11 (18594)
0 12 (14401)
0 13 (16384)
0 14 (5437)
0 15 (16485)
0 16 (17370)
0 17 (17366)
0 18 (16280)
0 19 (16464)
0 20 (18582)
0 21 (18394)
0 22 (18555)
0 23 (18691)
0 24 (19020)
0 25 (18884)
0 26 (20769)
1 3 (15473)
1 4 (15473)
1 5 (15475)
1 6 (15475)
1 7 (11738)
1 8 (15959)
1 9 (15959)
1 10 (13841)
1 11 (13861)
1 12 (14597)
1 13 (16739)
1 14 (15778)
1 15 (15246)
1 16 (17377)
1 17 (16251)
1 18 (17727)
1 19 (17957)
1 20 (17473)
1 21 (17544)
1 22 (17648)
1 23 (17557)
1 24 (18589)
1 25 (17814)
1 26 (19480)
2 3 (15473)
2 4 (15473)
2 5 (15475)
2 6 (15475)
2 7 (11738)
2 8 (15959)
2 9 (15959)
2 10 (13841)
2 11 (13861)
2 12 (14597)
2 13 (16739)
2 14 (15778)
2 15 (15246)
2 16 (17377)
2 17 (16251)
2 18 (17727)
2 19 (17957)
2 20 (17473)
2 21 (17544)
2 22 (17648)
2 23 (17557)
2 24 (18589)
2 25 (17814)
2 26 (19480)
3 4 5 7 (4734)
3 4 5 10 (9926)
3 4 5 11 (12059)
3 4 5 12 (15411)
3 4 6 10 (9926)
3 4 6 11 (12059)
3 4 6 12 (15411)
3 4 7 (4767)
3 4 8 10 (9927)
3 4 8 11 (12059)
3 4 8 12 (15411)
3 4 10 (9954)
3 4 11 (12087)
3 4 12 (15430)
3 5 6 10 (9926)
3 5 6 11 (12059)
3 5 6 12 (15411)
3 5 7 (4734)
3 5 8 10 (9926)
3 5 8 11 (12059)
3 5 8 12 (15411)
3 5 10 (9926)
3 5 11 (12059)
3 5 12 (15411)
3 6 8 10 (9926)
3 6 8 11 (12059)
3 6 8 12 (15411)
3 6 10 (9926)
3 6 11 (12059)
3 6 12 (15411)
3 7 (4767)
3 8 10 (9927)
3 8 11 (12059)
3 8 12 (15411)
3 10 (9954)
3 11 (12087)
3 12 (15430)
3 14 (17040)
3 15 (10798)
3 16 (14209)
3 17 (11652)
3 18 (12849)
3 19 (13242)
3 20 (14150)
3 21 (13923)
3 22 (14258)
3 23 (14345)
3 24 (21543)
3 25 (14724)
3 26 (22584)
4 5 6 10 (9926)
4 5 6 11 (12059)
4 5 6 12 (15411)
4 5 7 (4734)
4 5 8 10 (9926)
4 5 8 11 (12059)
4 5 8 12 (15411)
4 5 10 (9926)
4 5 11 (12059)
4 5 12 (15411)
4 6 8 10 (9926)
4 6 8 11 (12059)
4 6 8 12 (15411)
4 6 10 (9926)
4 6 11 (12059)
4 6 12 (15411)
4 7 (4767)
4 8 10 (9927)
4 8 11 (12059)
4 8 12 (15411)
4 10 (9954)
4 11 (12087)
4 12 (15430)
4 14 (17040)
4 15 (10798)
4 16 (14209)
4 17 (11652)
4 18 (12849)
4 19 (13242)
4 20 (14150)
4 21 (13923)
4 22 (14258)
4 23 (14345)
4 24 (21543)
4 25 (14724)
4 26 (22584)
5 6 8 10 (9952)
5 6 8 11 (12085)
5 6 8 12 (15430)
5 6 10 (9952)
5 6 11 (12085)
5 6 12 (15430)
5 7 (4762)
5 8 10 (9952)
5 8 11 (12085)
5 8 12 (15430)
5 10 (9952)
5 11 (12085)
5 12 (15430)
5 14 (17048)
5 15 (10795)
5 16 (14208)
5 17 (11649)
5 18 (12822)
5 19 (13217)
5 20 (14150)
5 21 (13922)
5 22 (14257)
5 23 (14345)
5 24 (21543)
5 25 (14724)
5 26 (22585)
6 7 (4762)
6 8 10 (9952)
6 8 11 (12085)
6 8 12 (15430)
6 10 (9952)
6 11 (12085)
6 12 (15430)
6 14 (17048)
6 15 (10795)
6 16 (14208)
6 17 (11649)
6 18 (12822)
6 19 (13217)
6 20 (14150)
6 21 (13922)
6 22 (14257)
6 23 (14345)
6 24 (21543)
6 25 (14724)
6 26 (22585)
7 8 (5601)
7 9 (5601)
7 10 (22234)
7 11 (20736)
7 12 (16285)
7 13 (7790)
7 14 (14600)
7 15 18 (21161)
7 15 19 (21261)
7 15 20 (24246)
7 15 23 (24270)
7 15 24 (16831)
7 15 25 (24275)
7 16 (22939)
7 17 20 24 (17363)
7 17 21 24 (17833)
7 17 22 24 (17647)
7 17 24 (17942)
7 18 (22293)
7 19 (22415)
7 20 21 24 (17491)
7 20 22 24 (17332)
7 20 24 (17662)
7 21 22 24 (17817)
7 21 24 (18069)
7 22 24 (17906)
7 24 (18243)
7 26 (19396)
8 10 (10644)
8 11 (12769)
8 12 (15941)
8 14 (17446)
8 15 (11608)
8 16 (15035)
8 17 (12538)
8 18 (13711)
8 19 (14106)
8 20 (15028)
8 21 (14803)
8 22 (15133)
8 23 (15224)
8 24 (22154)
8 25 (15603)
8 26 (23221)
9 10 (10644)
9 11 (12769)
9 12 (15941)
9 14 (17446)
9 15 (11608)
9 16 (15035)
9 17 (12538)
9 18 (13711)
9 19 (14106)
9 20 (15028)
9 21 (14803)
9 22 (15133)
9 23 (15224)
9 24 (22154)
9 25 (15603)
9 26 (23221)
10 11 (21940)
10 12 (17512)
10 13 (12538)
10 14 (14605)
10 15 (24465)
10 16 17 (22869)
10 16 18 (17075)
10 16 19 (17350)
10 16 20 24 (17999)
10 16 21 (24047)
10 16 22 (24194)
10 16 24 (18026)
10 17 20 24 (17998)
10 17 21 24 (18134)
10 17 22 24 (17949)
10 17 24 (18327)
10 18 (19421)
10 19 (19723)
10 20 21 24 (19053)
10 20 22 24 (19209)
10 20 24 (20002)
10 21 22 24 (19064)
10 21 24 (19436)
10 22 24 (19588)
10 24 (20387)
10 26 (19707)
11 12 (18079)
11 13 (14574)
11 14 (10755)
11 15 16 (21375)
11 15 18 (17080)
11 15 19 (17270)
11 15 20 (24439)
11 15 23 (24483)
11 15 24 (18543)
11 15 25 (24493)
11 16 17 (22618)
11 16 18 (15514)
11 16 19 (15733)
11 16 20 24 (18142)
11 16 21 (23581)
11 16 22 (23733)
11 16 24 (18223)
11 17 20 24 (18731)
11 17 21 24 (19501)
11 17 22 24 (19296)
11 17 24 (19704)
11 18 (18096)
11 19 (18358)
11 20 21 24 (19608)
11 20 22 24 (19748)
11 20 24 (20540)
11 21 22 24 (20196)
11 21 24 (20584)
11 22 24 (20720)
11 24 (21524)
11 26 (22229)
12 13 (17341)
12 14 (17670)
12 15 (19838)
12 16 (21007)
12 17 (21017)
12 18 (20714)
12 19 (20944)
12 20 (22520)
12 21 (22219)
12 22 (22295)
12 23 (22659)
12 24 (22160)
12 25 (22882)
12 26 (23438)
13 14 (18685)
13 15 (13733)
13 16 (16847)
13 17 (14800)
13 18 (15973)
13 19 (16368)
13 20 (17206)
13 21 (17036)
13 22 (17351)
13 23 (17405)
13 24 (23808)
13 25 (17785)
14 15 (15715)
14 16 (17521)
14 17 (16848)
14 18 19 (24469)
14 20 (17787)
14 21 (17992)
14 22 (17937)
14 23 (17955)
14 24 (22419)
14 25 (18326)
14 26 (23417)
15 16 17 24 (19320)
15 16 18 (19367)
15 16 19 (19589)
15 16 20 24 (19244)
15 16 21 24 (19245)
15 16 22 24 (18984)
15 16 24 (19320)
15 17 20 24 (21703)
15 17 21 24 (22565)
15 17 22 24 (22261)
15 17 24 (22650)
15 18 (22140)
15 19 (22402)
15 20 21 24 (21620)
15 20 22 24 (21325)
15 20 24 (21703)
15 21 22 24 (22216)
15 21 24 (22565)
15 22 24 (22261)
15 24 (22650)
15 26 (23332)
16 17 20 24 (20694)
16 17 21 24 (20563)
16 17 22 24 (20349)
16 17 24 (20775)
16 17 26 (20878)
16 18 (22419)
16 19 (22767)
16 20 21 24 (21970)
16 20 22 24 (22133)
16 20 24 (23044)
16 20 26 (22967)
16 21 22 24 (21644)
16 21 24 (22072)
16 21 26 (21949)
16 22 24 (22235)
16 22 26 (22030)
16 23 24 (23075)
16 23 26 (22999)
16 24 25 (23133)
16 24 26 (19255)
16 25 26 (23063)
17 18 (23345)
17 19 (23639)
17 20 21 24 (23055)
17 20 22 24 (22806)
17 20 24 (23285)
17 20 26 (23666)
17 21 22 24 (23638)
17 21 24 (24025)
17 22 24 (23769)
17 22 26 (24305)
17 23 26 (23708)
17 24 (24260)
17 25 26 (23719)
18 19 25 (23695)
18 20 (23336)
18 21 (24037)
18 22 (23819)
18 23 (23513)
18 24 26 (22499)
18 25 (23885)
19 20 (23723)
19 21 (24396)
19 22 (24180)
19 23 (23901)
19 24 26 (22697)
19 25 (24273)
20 21 22 24 (24139)
20 21 22 26 (24307)
20 24 26 (19856)
21 22 23 24 (24199)
21 22 23 26 (24368)
21 22 24 25 (24217)
21 22 25 26 (24387)
21 24 26 (20448)
22 24 26 (20519)
23 24 26 (20040)
24 25 26 (20380)
